UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000071596,Abdominal Oblique Muscles,1,2025/01/01-2025/12/31,10,2024/01/01-2024/12/31
D000071616,CDX2 Transcription Factor,50,2025/01/01-2025/12/31,44,2024/01/01-2024/12/31
D000071617,Protein Deglycase DJ-1,50,2025/01/01-2025/12/31,45,2024/01/01-2024/12/31
D000071636,Protein Phosphatase 2C,61,2025/01/01-2025/12/31,65,2024/01/01-2024/12/31
D000071656,"Receptor, Notch3",85,2025/01/01-2025/12/31,66,2024/01/01-2024/12/31
D000071657,Werner Syndrome Helicase,29,2025/01/01-2025/12/31,34,2024/01/01-2024/12/31
D000071676,Zinc Finger Protein GLI1,94,2025/01/01-2025/12/31,109,2024/01/01-2024/12/31
D000071677,Histidine Kinase,78,2025/01/01-2025/12/31,77,2024/01/01-2024/12/31
D000071678,WD40 Repeats,7,2025/01/01-2025/12/31,13,2024/01/01-2024/12/31
D000071679,Glycogen Synthase Kinase 3 beta,517,2025/01/01-2025/12/31,570,2024/01/01-2024/12/31
D000071681,Tartrate-Resistant Acid Phosphatase,44,2025/01/01-2025/12/31,58,2024/01/01-2024/12/31
D000071682,Sterile Alpha Motif,2,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000071696,Proteogenomics,80,2025/01/01-2025/12/31,73,2024/01/01-2024/12/31
D000071697,Cellulite,6,2025/01/01-2025/12/31,19,2024/01/01-2024/12/31
D000071698,Latent Autoimmune Diabetes in Adults,19,2025/01/01-2025/12/31,20,2024/01/01-2024/12/31
D000071699,Bilateral Vestibulopathy,32,2025/01/01-2025/12/31,38,2024/01/01-2024/12/31
D000071700,Cone-Rod Dystrophies,23,2025/01/01-2025/12/31,31,2024/01/01-2024/12/31
D000071701,Regulatory Factor X Transcription Factors,18,2025/01/01-2025/12/31,21,2024/01/01-2024/12/31
D000071716,Regulatory Factor X1,6,2025/01/01-2025/12/31,4,2024/01/01-2024/12/31
D000071717,X-Box Binding Protein 1,117,2025/01/01-2025/12/31,97,2024/01/01-2024/12/31
D000071736,Stromal Interaction Molecules,74,2025/01/01-2025/12/31,69,2024/01/01-2024/12/31
D000071737,Stromal Interaction Molecule 1,71,2025/01/01-2025/12/31,64,2024/01/01-2024/12/31
D000071738,Stromal Interaction Molecule 2,13,2025/01/01-2025/12/31,6,2024/01/01-2024/12/31
D000071739,Calcium Release Activated Calcium Channels,57,2025/01/01-2025/12/31,69,2024/01/01-2024/12/31
