ISSN1,ISSN2,Sourceid,SJR
1545-5874,0022-250X,19349,0.82
2210-4291,1674-2001,10900153324,0.82
1875-8533,1570-5838,19900193674,0.82
1742-7843,1742-7835,20047,0.82
0013-1881,1469-5847,14279,0.82
0018-506X,1095-6867,26133,0.82
2154-1671,2154-1663,21100285069,0.82
0011-9059,1365-4632,24838,0.82
2542-3851,2542-386X,21101028596,0.82
1439-037X,0931-2250,83110,0.82
1049-0078,,22736,0.82
2470-5322,2470-5314,21100899441,0.82
2666-6383,,21101047053,0.82
1477-8238,1477-8246,4700152908,0.82
1098-2752,0738-1085,21763,0.82
0149-1970,,13182,0.82
2029-4921,2029-4913,145707,0.82
1552-8456,0193-9459,30034,0.82
2577-6207,,21101083126,0.82
2590-1370,,21100923492,0.82
1744-9324,0008-4239,16772,0.82
0733-8651,1558-2264,22529,0.82
1539-6746,,5600157640,0.82
2468-8681,2468-8673,21100871633,0.82
2095-7505,2095-977X,21100838766,0.82
2576-3156,,21101259094,0.82
2331-2947,1526-5943,21100781411,0.82
1533-6794,0022-4650,29589,0.82
1873-5800,0968-0160,23483,0.82
1439-7595,1439-7609,19273,0.82
1590-1874,1590-3478,17942,0.82
2472-5730,2472-5749,21100815426,0.82
1545-3421,,145656,0.82
2719-4523,,21101182759,0.82
1674-7321,1869-1900,19700167024,0.82
2631-7176,,21101130817,0.82
1664-221X,1664-2201,19700186870,0.82
1090-2090,0092-640X,28944,0.82
2045-435X,2045-4368,21100322088,0.82
2192-4384,2192-4376,21100862198,0.82
2075-4450,,21100242257,0.82
1745-4514,0145-8884,20580,0.82
0375-6742,,23222,0.82
2288-8128,2383-5001,21101179109,0.82
2363-7625,1001-6112,21101023187,0.82
1089-7690,0021-9606,28134,0.82
2210-657X,2210-6561,21100206602,0.82
1350-6285,1464-0716,15407,0.82
1471-2172,,20691,0.82
0094-1298,1558-0504,21043,0.82
2042-8898,2042-8901,21100201986,0.82
0733-2459,1098-1101,25998,0.82
1360-0540,0260-7476,200147109,0.82
0957-8234,,130100,0.82
1432-1432,0022-2844,18946,0.82
2163-0402,2163-0933,21100236604,0.82
1178-6930,,19700175000,0.82
2366-0058,2366-004X,21100454916,0.82
1098-2140,,24734,0.82
1532-8228,0883-9417,27123,0.82
1839-4655,0157-6321,28625,0.82
0007-070X,,144664,0.82
1758-8103,1758-8111,21100399701,0.82
2296-9365,2296-9403,21101056826,0.82
1773-2247,2588-8943,22204,0.82
0140-2390,1743-937X,26364,0.82
1362-1718,1743-2936,28363,0.82
2214-7500,,21100367469,0.82
2414-6366,,21100927981,0.82
0005-0067,1742-9544,12084,0.82
1442-7001,1442-8903,20293,0.82
1525-6480,1525-6499,4700152827,0.82
2409-515X,,21100900065,0.82
0022-3697,1879-2553,28564,0.82
0196-8092,1096-9101,21756,0.82
1609-1833,1816-2002,11400153315,0.82
0003-3472,1095-8282,24580,0.81
0924-8463,1572-8382,13880,0.81
1572-8404,0169-3867,13699,0.81
1357-034X,1460-3632,5600152890,0.81
1939-2400,1939-2397,19800188060,0.81
2590-2628,,21101039902,0.81
1872-6232,0378-3782,12663,0.81
1464-7001,,700147308,0.81
1753-8157,,12400154722,0.81
1569-1713,,3300147502,0.81
2090-004X,2090-0058,21100228110,0.81
2327-3801,2327-3798,21100386521,0.81
1934-1482,1934-1563,15800154701,0.81
1799-7267,1457-4969,22270,0.81
0960-3174,1573-1375,23614,0.81
0924-1884,,5800207676,0.81
2168-4790,2168-4804,21100239606,0.81
2090-3367,2090-3359,19900193531,0.81
1557-9891,1557-9883,11600153423,0.81
1467-8284,0003-2638,22103,0.81
0903-4641,1600-0463,12400,0.81
2050-6511,,21100218055,0.81
0256-7679,1439-6203,25827,0.81
1432-0436,0301-4681,14550,0.81
1878-5891,0378-5955,13707,0.81
1474-919X,0019-1019,22021,0.81
1525-8955,0885-3010,12998,0.81
2050-4527,,21100841829,0.81
1047-8310,,19713,0.81
1347-8648,1347-8613,23085,0.81
1861-8952,1617-416X,5400152649,0.81
1423-0259,0030-3747,14630,0.81
0033-3085,1520-6807,14030,0.81
1176-6093,,19900191743,0.81
2325-5889,2325-5897,21100374317,0.81
2210-9706,,21100197952,0.81
2693-9169,,21101046170,0.81
2213-2945,,21100258753,0.81
0027-9684,1943-4693,15816,0.81
1352-0504,1365-2893,25300,0.81
0923-2508,1769-7123,20354,0.81
1062-8592,1538-1951,13073,0.81
1742-5972,1742-5964,19700201439,0.81
2328-1235,0569-4345,22698,0.81
0005-2736,1879-2642,18406,0.81
2373-2873,,21100832705,0.81
1936-0584,1936-0592,16700154710,0.81
2160-1836,,21100232417,0.81
1470-3297,1470-3300,21367,0.81
1365-263X,0960-7439,25634,0.81
1467-6370,,144819,0.81
1549-3296,,98028,0.81
2381-2354,2381-2346,21100975552,0.81
1532-8503,1051-2276,13180,0.81
2381-4683,,21100948915,0.81
0039-3223,1730-6337,26945,0.81
2524-7891,2524-7980,21101062813,0.81
1566-7367,,22746,0.81
1754-470X,,21100872040,0.81
0947-3580,,25406,0.81
2279-7254,,21100205502,0.81
0147-9563,1527-3288,27707,0.81
1724-6067,1120-7000,13922,0.81
0802-6106,1473-4192,100147329,0.81
1018-9068,1698-0808,38787,0.81
1551-2916,0002-7820,20982,0.81
1040-452X,1098-2795,14163,0.81
2079-4991,,21100253674,0.81
0036-021X,1468-4837,21511,0.81
1559-0720,0163-4984,16901,0.81
2666-5158,,21101078840,0.81
1389-5753,,145669,0.81
2516-8657,,21100891048,0.81
2624-9375,,21101066387,0.81
2662-9992,,21101018925,0.81
1752-1416,1752-1424,5600152809,0.81
0749-6753,1099-1751,29814,0.81
0950-3846,,145557,0.81
0148-6195,,24378,0.81
1573-4838,0957-4530,21178,0.81
1320-5463,1440-1827,16986,0.81
0161-4681,1467-9620,13995,0.81
0040-5841,1543-0421,14036,0.81
1980-0436,,21100231200,0.81
1464-5041,0268-7038,14183,0.81
0178-2770,1432-0452,24907,0.81
1360-3124,1464-5092,16400154732,0.81
0020-7462,,21116,0.81
0380-1330,,17510,0.81
1916-0216,1916-0208,12000154553,0.81
1462-6004,,144659,0.81
1747-5090,1363-6820,5700154786,0.81
2005-372X,2234-7518,19700168907,0.81
2509-4262,2509-4254,21100932732,0.81
0951-5089,1465-394X,12824,0.81
2194-0517,2194-0509,21101081715,0.81
1545-6846,0037-8046,19600163400,0.81
0049-3155,,20835,0.81
0007-1005,1467-8527,12100,0.81
1749-9755,,6300153126,0.81
1863-5407,1613-4796,10900153309,0.81
1088-3576,1538-4829,5700155920,0.81
1469-798X,1360-0826,25162,0.81
0168-1656,1873-4863,16078,0.81
1526-0976,1089-2591,27585,0.81
1478-0941,1477-2019,5000155901,0.81
0254-0584,,17800,0.81
2666-5921,,21101186481,0.81
2578-2703,,21101063741,0.81
1553-3077,,4700152858,0.81
0161-7761,1548-1492,89175,0.81
0270-4676,1552-4183,19994,0.81
1996-9805,1818-6300,5800179585,0.81
1461-7161,0959-3535,14172,0.81
0021-8936,1528-9036,20949,0.81
0925-5001,1573-2916,88345,0.81
2155-7470,,21100863819,0.81
0964-2633,1365-2788,16726,0.81
1651-2081,1650-1977,12272,0.81
1009-6124,,4900152803,0.81
1558-1349,1042-3680,21776,0.81
0273-0979,1088-9485,24660,0.81
1534-0392,1553-5258,145649,0.81
2666-3341,,21101061925,0.81
2519-173X,,21100898676,0.81
2327-2236,,21101033123,0.81
2515-4184,,21100889437,0.81
2474-736X,,21101050036,0.81
1521-0693,1057-3569,5800179626,0.81
1948-5875,,19700177127,0.8
0001-1541,1547-5905,16275,0.8
2376-6123,1674-2834,21100913138,0.8
1471-2474,,29541,0.8
1471-2369,,19395,0.8
2520-1026,,21100967059,0.8
2405-4577,,21100445637,0.8
1871-4080,1871-4099,5200153049,0.8
2073-431X,,21100886391,0.8
1531-6971,1070-5287,18449,0.8
1551-7136,,4000148704,0.8
2667-1433,,21101089555,0.8
1975-8375,2233-4521,4400151412,0.8
1744-5078,0927-3948,14579,0.8
1755-3091,,21100248934,0.8
2055-0464,,21100823212,0.8
2639-5940,2639-5932,21100938253,0.8
1473-5903,1747-762X,11600154149,0.8
0196-206X,1536-7312,15104,0.8
2411-5142,,21100902910,0.8
0207-6918,2310-3701,21101049148,0.8
0171-8630,1616-1599,12169,0.8
1464-0694,0960-2011,18011,0.8
2183-2463,,21100427853,0.8
2045-8932,2045-8940,21100467354,0.8
2590-051X,,21101060166,0.8
1082-6084,1532-2491,21945,0.8
1099-1727,0883-7066,23651,0.8
0939-4451,1438-2199,16783,0.8
2168-0450,,21100403506,0.8
0706-652X,1205-7533,12016,0.8
2730-6852,,21101142737,0.8
1356-3890,1461-7153,70397,0.8
1096-0945,0014-4800,13247,0.8
1380-3743,1572-9788,19357,0.8
1932-6203,,10600153309,0.8
2287-903X,2287-8882,21100386506,0.8
0378-5920,1467-9701,23594,0.8
0002-7294,1548-1433,32845,0.8
1745-3992,0731-1745,100147352,0.8
1875-8223,1384-6299,24567,0.8
2589-7578,,21101196704,0.8
1470-3610,1352-7258,5700154545,0.8
0021-9746,1472-4146,15875,0.8
1573-4803,0022-2461,21162,0.8
2475-4455,,21100898763,0.8
1873-6351,0278-6915,25096,0.8
1526-484X,1543-2742,40900,0.8
0340-6253,,24756,0.8
0191-2917,,60195,0.8
2590-1974,,21101075727,0.8
0953-5314,1469-5758,28487,0.8
2772-5774,,21101129711,0.8
1873-2380,0021-9290,15846,0.8
0272-8397,1548-0569,14433,0.8
1072-4745,1468-2893,24274,0.8
1399-3062,1398-2273,19252,0.8
1552-4876,1552-4868,110320,0.8
2160-6064,2160-6056,21100871130,0.8
2624-9634,,21101072515,0.8
2095-0179,2095-0187,19900195053,0.8
1552-695X,1534-7354,29872,0.8
1741-2889,1367-4935,15097,0.8
1432-1378,0933-2790,23871,0.8
1365-2753,1356-1294,15898,0.8
1062-7375,1533-7995,20608,0.8
0027-5514,1557-2536,19814,0.8
2052-1707,,21100825823,0.8
1740-5599,0032-258X,21519,0.8
2686-8024,2687-0088,21100874334,0.8
1434-4483,0177-798X,14171,0.8
2210-7185,2210-7177,21100212800,0.8
0181-1584,,17922,0.8
1644-387X,2300-9020,20500195141,0.8
1331-677X,1848-9664,20595,0.8
1432-1017,0175-7571,14877,0.8
1537-1603,0736-0258,16675,0.8
0022-1147,1750-3841,20614,0.8
1442-7591,,144948,0.8
1834-4909,,19400157156,0.8
1532-8449,0882-5963,28240,0.8
1097-0010,0022-5142,33928,0.8
0954-3945,,3900148215,0.8
1540-5826,0938-8982,12100156129,0.8
2590-0978,,21101041512,0.8
2210-4097,2210-4070,21100398825,0.8
1532-9194,,21216,0.8
1463-4236,1477-1128,19900193221,0.8
1502-7732,0300-9742,19781,0.8
0081-2463,2078-208X,15270,0.8
0195-5616,1878-1306,19516,0.8
2666-5778,,21101092528,0.8
2387-4562,,21100937015,0.8
2515-7620,,21101046767,0.8
1872-7654,0301-2115,12681,0.8
1557-9964,1545-5963,17971,0.8
2783-1272,2783-3623,21101185426,0.8
1538-4799,1063-4266,16705,0.8
0028-8306,1175-8791,25160,0.8
2804-3871,,21101230650,0.8
0890-6238,1873-1708,24028,0.8
1449-8618,1326-2238,21100204505,0.8
0734-0664,1741-2358,25514,0.8
1092-6771,1545-083X,15373,0.8
1322-9400,,3600148104,0.8
2210-3147,1001-8042,29090,0.8
2633-6979,,21101082070,0.8
2664-3286,,21101177606,0.8
1435-9448,1435-9456,29520,0.8
2396-8923,,21100976730,0.8
2772-9125,,21101165602,0.8
2468-7499,,21101024227,0.8
2199-1073,2199-1081,21100826426,0.8
1475-7516,,130032,0.8
1086-9379,,27711,0.8
2054-5703,,21100446014,0.8
0334-4355,2040-4786,20000195092,0.8
1759-7714,1759-7706,21100202716,0.8
1855-3974,1855-3966,19700201408,0.79
0255-2701,,16392,0.79
1470-2118,1473-4893,35022,0.79
1600-9657,1600-4469,24958,0.79
2768-6701,2768-6698,27974,0.79
1471-6909,0954-2892,19774,0.79
2093-2278,2093-2286,21100199820,0.79
2578-983X,2578-9821,21100938256,0.79
1465-3990,0953-7325,14715,0.79
1552-3020,0886-1099,28149,0.79
2153-2176,2153-2168,19700200840,0.79
0010-8847,,13822,0.79
1139-613X,,19400156819,0.79
2399-1402,2399-1399,21100901842,0.79
2673-8619,,21101171878,0.79
1178-6973,,19700175015,0.79
2666-9919,2666-9927,21101039476,0.79
1748-7889,1748-7870,11800154591,0.79
0882-2689,1573-3505,30065,0.79
0148-6055,,14423,0.79
1658-077X,,21100817638,0.79
1469-0756,0032-5473,17112,0.79
2664-5009,2664-4991,21101081515,0.79
0091-5521,,5700165209,0.79
0925-9635,,24680,0.79
0266-0784,,5800207550,0.79
2352-9067,,21100394792,0.79
0091-4150,1541-3535,29163,0.79
2561-1011,,21101028595,0.79
1001-6058,,28521,0.79
2042-6763,2042-6771,21100242210,0.79
0854-6509,2549-4600,21101152733,0.79
2049-5331,2049-5323,21100406328,0.79
2218-6581,,21100833833,0.79
1059-1311,1532-2688,19380,0.79
0960-7404,1879-3320,13149,0.79
1873-9326,1873-9318,14500154732,0.79
2676-6957,2476-3055,21101033903,0.79
1940-2473,0887-302X,12075,0.79
1467-3037,1467-3045,17398,0.79
2571-581X,,21100941001,0.79
0262-8856,,25549,0.79
1099-1158,1076-9307,17332,0.79
1552-5007,1552-5015,22556,0.79
1880-6546,1880-6562,4100151618,0.79
1573-0476,0895-5646,29011,0.79
0213-4853,1578-1968,17520,0.79
1435-0661,0361-5995,37206,0.79
0039-3606,1936-6167,26587,0.79
2769-0520,,21101181927,0.79
0967-4845,2474-0896,26784,0.79
2057-0198,2057-0201,21100830164,0.79
2768-0983,,21101154803,0.79
1538-7216,,28148,0.79
1471-1842,1471-1834,30004,0.79
0253-7176,0975-1564,20000195020,0.79
1540-4749,1087-5301,4700152804,0.79
1873-6300,0891-0618,16670,0.79
1466-4496,0261-4367,28911,0.79
0733-2467,1520-6777,20041,0.79
8755-6863,1099-0496,15747,0.79
1094-5539,1522-9629,18622,0.79
0273-2173,1521-0707,18109,0.79
1472-0213,1472-0205,29689,0.79
0014-1844,1469-588X,16601,0.79
2673-561X,,21101152881,0.79
2295-3159,,21100899437,0.79
1448-5516,1049-8001,28866,0.79
1931-3160,1931-3152,14000155855,0.79
1751-2972,1751-2980,10300153357,0.79
0948-4280,1437-8213,27784,0.79
1748-6653,1748-6645,17500155120,0.79
1878-0539,1748-6815,4000148817,0.79
2305-6290,,21101126970,0.79
2589-1529,,21100897127,0.79
1432-1998,0301-0449,15753,0.79
1075-9964,1095-8274,19607,0.79
1060-0280,1542-6270,19464,0.79
2225-1154,,21100826864,0.79
1098-2353,0897-3806,29301,0.79
0167-7055,1467-8659,25023,0.79
0018-9383,,26052,0.79
2156-5333,2156-535X,21100459267,0.79
1530-9827,,20952,0.79
2352-4928,,21100369777,0.79
2665-9131,,21101158943,0.79
0211-5743,1989-0648,19900192517,0.79
1478-1700,1751-2921,5800220705,0.79
1863-1959,1863-2378,5200153105,0.79
1752-7589,1745-2007,19600156901,0.79
2661-8850,,21100908411,0.79
2730-7239,,21101212766,0.79
0937-4477,1434-4726,13682,0.79
0269-7580,,5600153350,0.79
0022-0418,,12794,0.79
2050-3318,2050-3326,21100834347,0.79
1869-5760,,21100204927,0.79
0735-2166,1467-9906,13936,0.79
2367-8194,,21100905834,0.79
1574-1192,,3200147819,0.79
0379-6779,,18375,0.79
1365-3121,0954-4879,23890,0.79
2038-131X,2038-3312,19700175236,0.79
1683-3511,,19200156958,0.79
0045-2068,1090-2120,25789,0.79
2058-5357,2058-5349,21100849723,0.79
1473-4877,0300-7995,29970,0.79
1612-4677,1612-4669,50088,0.79
1322-7114,1440-172X,27749,0.79
1682-3141,1948-965X,28236,0.79
1533-2675,1533-2667,4700152756,0.79
2571-550X,,21101043278,0.79
1572-8773,0966-0844,16919,0.79
0011-3204,1537-5382,33918,0.79
0012-7086,,15184,0.79
1474-0338,1744-764X,21349,0.79
2333-7214,,21100854133,0.79
0021-924X,1756-2651,17581,0.79
1528-8927,1048-9002,120005,0.79
1369-8001,,26675,0.79
1753-5557,1066-7857,27301,0.79
1092-7875,1573-6628,27658,0.79
1467-3010,1471-9827,90223,0.79
2055-2238,,21100932754,0.79
1949-2553,,19900191708,0.79
1946-6226,,19700183047,0.78
2193-2697,,21101215111,0.78
2673-530X,,21101152880,0.78
2590-4221,,21101061990,0.78
1873-5835,0145-2126,26017,0.78
0891-3668,1532-0987,15739,0.78
2993-8139,2563-9021,21101246777,0.78
1939-1323,0735-7028,13339,0.78
2666-3376,,21101039904,0.78
2524-8987,,21100905629,0.78
1076-9242,1099-0909,22029,0.78
2297-1769,,21100843693,0.78
1756-669X,1756-6703,21100385809,0.78
1946-3138,1946-3146,21100208039,0.78
2466-054X,2466-0493,21100453520,0.78
1937-5093,1937-5077,19900191822,0.78
1538-9847,0029-6562,29259,0.78
2164-2583,,21100803572,0.78
0935-4964,1432-2250,14592,0.78
0042-207X,1879-2715,12489,0.78
2589-9589,,21101136811,0.78
1944-3900,,21101253556,0.78
1876-2891,1876-2883,19700201534,0.78
0927-0256,,20541,0.78
0010-7514,1366-5812,27457,0.78
2334-9050,,21100802698,0.78
1386-1999,,145213,0.78
0730-2312,1097-4644,17598,0.78
1178-7090,,19700174903,0.78
1741-1130,1741-1122,19200156914,0.78
2451-9944,,21100780550,0.78
1873-507X,0031-9384,24007,0.78
1816-3459,1816-8957,92266,0.78
1477-7819,,13231,0.78
0312-8008,1839-3942,20024,0.78
2399-9772,,21100931312,0.78
1004-9541,,12888,0.78
1421-9824,1420-8008,15029,0.78
0015-718X,,4700152907,0.78
1089-2699,1930-7802,14246,0.78
2602-439X,,21101271431,0.78
2542-4823,,21101039875,0.78
1347-3182,,146169,0.78
1177-8903,,19700178100,0.78
1529-7489,,1100147103,0.78
1087-6545,0883-9514,23673,0.78
0218-8791,1742-6855,19400158465,0.78
1557-8070,1531-1074,13090,0.78
2397-8554,2397-8562,21101021573,0.78
2055-1029,,21100794825,0.78
1109-3099,2520-8721,4200151515,0.78
0169-8141,1872-8219,12385,0.78
1753-8351,1753-836X,17800156772,0.78
2635-1374,2635-1692,21101258748,0.78
0022-4510,1748-5827,18300,0.78
1527-0025,1552-7794,11800154592,0.78
2755-0230,2097-2555,21101160578,0.78
1095-9319,0026-2862,23948,0.78
2470-6566,,21101018930,0.78
2452-1094,,21100465104,0.78
1710-1492,1710-1484,4800153203,0.78
2186-6953,2186-3342,21100864540,0.78
2624-5175,,21101119538,0.78
0958-305X,2048-4070,29360,0.78
2054-3085,,21100943277,0.78
2590-2296,,21101065238,0.78
1365-2672,1364-5072,20217,0.78
1522-2624,1436-8730,15656,0.78
0961-2033,1477-0962,19243,0.78
0025-7818,,29673,0.78
1651-226X,0284-186X,28668,0.78
1002-0063,1993-064X,25202,0.78
0885-2308,1095-8363,27869,0.78
1477-0857,1471-4175,19900191719,0.78
0929-8673,1875-533X,23488,0.78
1591-996X,2035-648X,25027,0.78
1879-2219,0966-6362,28025,0.78
0937-3462,1433-3023,27525,0.78
1029-2403,1042-8194,26016,0.78
0921-5107,,17812,0.78
1865-9284,1865-9292,17400154829,0.78
2512-2819,2512-2789,21100870078,0.78
0270-1367,0364-9857,29803,0.78
2211-4866,0034-673X,29632,0.78
1573-6725,0885-7466,17534,0.78
2212-1358,2212-134X,21100248810,0.78
0803-5253,1651-2227,14410,0.78
2373-6658,,21100986474,0.78
1740-5912,1740-5904,5700167223,0.78
2095-1698,2095-1701,19900193870,0.78
2191-477X,2191-4761,19900192221,0.78
0022-3239,1573-2878,23966,0.78
0953-4814,,20670,0.78
1937-2817,0022-541X,18609,0.78
2673-6209,,21101199384,0.78
2772-2759,,21101161672,0.78
1380-7501,1573-7721,25627,0.78
1364-5021,1471-2946,144604,0.78
1674-4527,,17800156777,0.78
2079-9276,,21100808642,0.78
2046-2069,,21100199840,0.78
0065-2423,2162-9471,16759,0.78
2573-5152,,21101151498,0.78
1750-9653,1750-9661,21100790518,0.78
0896-1530,1528-7068,4700152801,0.78
0030-8730,1945-5844,25761,0.78
2055-5660,,21100871622,0.78
1544-2217,0300-9858,19538,0.78
1067-1927,1524-475X,13150,0.78
0003-1305,1537-2731,13631,0.78
2151-2485,1976-8354,18700156727,0.78
1740-4398,1745-1981,4700152278,0.78
2561-6722,,21101030141,0.78
2666-4496,2096-7527,21101082054,0.78
1943-9970,1943-9962,19700200834,0.78
1533-2500,1530-7085,145429,0.78
0932-5026,1613-9798,14233,0.78
1715-5312,,4700151731,0.77
1471-2377,,14258,0.77
2380-0194,2380-0186,21100782390,0.77
1534-3081,1531-3433,14995,0.77
1355-770X,1469-4395,20873,0.77
1473-5709,0959-8278,29763,0.77
1351-847X,1466-4364,14971,0.77
2164-5701,2164-5698,21100216575,0.77
0289-2316,,4700152846,0.77
0309-8265,1466-1845,29275,0.77
0013-4651,1945-7111,25169,0.77
2470-1343,,21100828963,0.77
2075-4418,,21100852989,0.77
1880-5981,1343-8832,22568,0.77
0017-467X,1745-6584,29460,0.77
0021-9924,1873-7994,15428,0.77
1178-2390,,19700175822,0.77
1724-6059,1121-8428,19950,0.77
1469-672X,0264-6838,30072,0.77
2073-445X,,21100811521,0.77
2689-6575,2689-6567,21101051829,0.77
1614-0575,1613-6071,7800153101,0.77
0162-5748,1090-7009,20738,0.77
1680-5348,1020-4989,22604,0.77
1873-295X,1369-703X,16849,0.77
1673-3363,,17700156412,0.77
0011-5266,1548-6192,14432,0.77
2773-207X,,21101248991,0.77
2515-8961,,21101064919,0.77
1095-6670,1099-0461,29550,0.77
2731-5533,2731-5541,21101115406,0.77
0023-8309,1756-6053,23108,0.77
1745-0101,1745-011X,5900153310,0.77
0029-5493,,17882,0.77
2213-7467,,21100855984,0.77
0008-6568,1421-976X,24388,0.77
1179-1918,1173-2563,20603,0.77
0022-2585,,20491,0.77
2772-4212,,21101095580,0.77
1544-3191,1544-3450,19447,0.77
2096-2495,2524-1729,21100981739,0.77
1120-1797,1724-191X,17037,0.77
2168-1376,,21100463803,0.77
0364-2313,1432-2323,19301,0.77
0953-4180,1875-8584,14287,0.77
1472-6750,,14988,0.77
1054-1500,1089-7682,27430,0.77
1474-4740,1477-0881,23552,0.77
2666-5719,,21101093031,0.77
2195-9706,,21100453600,0.77
2159-2896,,21101063700,0.77
1520-0426,0739-0572,13549,0.77
1548-1387,0745-5194,33476,0.77
1057-610X,,200147101,0.77
1467-8519,0269-9702,22258,0.77
1471-2202,,23358,0.77
1534-3146,1523-3847,20760,0.77
1942-9347,,21100228016,0.77
0300-3930,1743-9388,18224,0.77
2504-124X,2504-0464,21101047081,0.77
1817-406X,1999-3110,4700151601,0.77
1678-7714,1678-7544,79372,0.77
1747-1028,,5800173370,0.77
0020-6814,1938-2839,27522,0.77
1674-6767,2194-7783,21100201941,0.77
2227-5223,2095-2899,21100239402,0.77
0047-2425,1537-2537,23375,0.77
1098-612X,1532-2750,18297,0.77
1573-0409,0921-0296,24360,0.77
2212-828X,,21100268395,0.77
1547-5441,1547-3341,5800207893,0.77
2152-6842,0027-7630,25200,0.77
0028-1298,1432-1912,20427,0.77
0974-0430,0971-5894,16532,0.77
0032-3470,1862-2860,23482,0.77
0048-8402,,5700164302,0.77
0090-6964,1573-9686,27474,0.77
1872-8006,0304-4165,16829,0.77
1095-8339,0024-4074,19328,0.77
1552-3543,0891-2424,28465,0.77
2371-1671,,21100938000,0.77
2090-5920,1687-157X,21100463067,0.77
1531-5053,0278-2391,26152,0.77
1867-1748,1867-1756,19400158571,0.77
0964-1726,1361-665X,29859,0.77
0039-6109,1558-3171,19195,0.77
0378-4274,1879-3169,25240,0.77
1468-3849,,5700162123,0.77
2218-1997,,21100903488,0.77
2165-0969,2165-0799,21100200604,0.77
1558-3465,1539-9087,10300153313,0.77
0003-0481,,22086,0.77
0736-9387,1934-7243,21601,0.77
2057-0082,,21101095935,0.77
1440-1584,1038-5282,19616,0.77
0010-4485,,18145,0.77
1540-496X,,27748,0.77
1933-6934,1933-6942,6200162323,0.77
2674-0109,,21101188475,0.77
2469-7281,,21101060132,0.77
2328-918X,2328-9198,21101114177,0.77
1872-7972,0304-3940,18046,0.77
2699-0369,,21101270277,0.77
2051-817X,,21100454943,0.77
1469-5812,0013-1857,5800209860,0.77
1524-8399,,21317,0.77
0890-6327,1099-1115,17960,0.77
0890-4065,1879-193X,29194,0.77
1598-6357,1011-8934,15946,0.77
1052-5629,1552-6658,5700185131,0.77
1745-6673,,15300154846,0.77
0953-1513,1741-4857,22510,0.77
0748-1756,1947-6302,14065,0.77
0038-4038,,25494,0.77
1532-8171,0735-6757,15207,0.76
0305-4179,1879-1409,29574,0.76
2050-0505,,21100817528,0.76
2755-0079,2755-0060,21101093582,0.76
1940-1906,0161-5440,19327,0.76
1748-2631,1748-2623,11800154595,0.76
1931-762X,1931-7611,7100153131,0.76
1473-2165,1473-2130,4000151101,0.76
1703-4949,,21100258760,0.76
1757-448X,0219-6352,16722,0.76
1863-2483,1863-2491,6400153172,0.76
1742-6545,1355-2600,5700169289,0.76
0898-5898,,23837,0.76
2575-985X,,21101172000,0.76
1363-951X,,21541,0.76
2332-2101,2332-211X,21101077288,0.76
1424-8220,,130124,0.76
2211-3711,2211-372X,21100820630,0.76
2279-7335,2279-7327,21100372826,0.76
1868-6958,1868-6966,19700173005,0.76
2666-4976,,21101107951,0.76
2196-3010,,21101048373,0.76
1468-7968,1741-2706,4700152406,0.76
2673-3013,,21101077282,0.76
1444-1586,1447-0594,12600154709,0.76
1940-0896,0022-1325,18923,0.76
1464-3774,0142-7873,29635,0.76
1520-5827,0743-7463,26987,0.76
2469-2964,,21101019267,0.76
1552-5767,1552-5775,21100215712,0.76
0033-2941,1558-691X,13465,0.76
1543-2785,0741-1235,18142,0.76
1945-5119,1074-9357,20653,0.76
1036-7314,,27139,0.76
0004-9441,2050-5884,29543,0.76
1178-7023,,19700175044,0.76
1743-8594,1743-8586,5800191489,0.76
1999-5903,,21100409311,0.76
1359-8139,1469-834X,22090,0.76
1431-2174,1435-0157,29466,0.76
2517-5025,,21101037328,0.76
2352-9148,,21100780477,0.76
0020-1383,1879-0267,29801,0.76
2397-7000,1939-7267,21100915392,0.76
2161-3915,2161-5748,21100389313,0.76
2352-9237,1878-4917,21101042192,0.76
1942-3454,1942-3462,19700166602,0.76
2471-1888,,21100903066,0.76
1469-1787,0956-5361,23749,0.76
0003-4266,2213-3941,25391,0.76
1932-9261,1932-927X,21100223527,0.76
2116-7052,1246-0125,19700181431,0.76
0267-8179,1099-1417,24431,0.76
2214-7160,,21100379294,0.76
1438-1656,1527-2648,13886,0.76
2633-4682,2633-4690,21101028570,0.76
1748-7188,,5800179604,0.76
1869-2044,1590-4261,16799,0.76
2452-3186,,21100467356,0.76
1435-8921,0377-7332,20642,0.76
1473-2262,,17458,0.76
2673-6128,,21101160674,0.76
2590-0358,2096-5117,21101034519,0.76
0018-9359,1557-9638,17344,0.76
1738-6756,,19400157274,0.76
1868-4882,1868-1034,19900190213,0.76
1572-6657,,9500154039,0.76
2205-2062,2205-149X,21101087777,0.76
1672-6030,2589-5540,4500151512,0.76
1218-2583,0032-5481,17113,0.76
0038-0938,1573-093X,28245,0.76
1936-900X,1936-9018,19900193277,0.76
0883-2919,,100147330,0.76
1178-6949,,19900192734,0.76
1099-0755,1052-7613,17182,0.76
1040-6190,,28802,0.76
2673-3145,,21101077280,0.76
2049-8802,2049-8799,21100446999,0.76
1049-023X,1945-1938,17641,0.76
2214-1804,,21100356802,0.76
1573-1391,0924-1868,18947,0.76
1472-7234,0007-4918,19966,0.76
2199-3793,,21100921313,0.76
0920-203X,1741-590X,11800154587,0.76
1571-0882,1745-3755,19700201037,0.76
0894-1777,,29220,0.76
